날짜,시가,고가,저가,현재가,거래량
20080102,26000,26100,24800,24850,3440780
20080103,24400,24850,24100,24600,2770877
20080104,24500,24600,24000,24400,3164048
20080107,23500,23800,23350,23600,4062797
20080108,23400,23550,22950,23100,3245201
20080109,22650,23900,22550,23500,3217076
20080110,23700,24100,23300,23300,1980789
20080111,23850,24150,23350,23700,3832372
20080114,23800,23950,23150,23250,1868227
20080115,23750,23950,22600,22750,3431690
20080116,22300,22550,21800,21850,4795073
20080117,22300,24500,22200,24500,10714366
20080118,24100,25050,23800,24500,9942980
20080121,25000,25600,24900,25000,7523875
20080122,24400,25850,24000,25000,9745690
20080123,25900,26100,25000,25300,6163397
20080124,25900,26400,25650,26100,5131742
20080125,26100,26300,25000,25150,5772990
20080128,24700,25350,24150,24450,3506559
20080129,24900,25600,24650,25250,4308059
20080130,25600,26650,25450,26100,9025016
20080131,26200,26450,25350,26000,4468228
20080201,26050,26200,24850,25300,5957399
20080204,25900,26450,25700,26000,5335745
20080205,25900,26400,25750,26050,2539347
20080211,25550,26300,25350,26100,3825822
20080212,26450,27200,26100,26250,4783467
20080213,26550,26800,25750,25800,2743869
20080214,26400,26550,25800,26200,4234387
20080215,25800,26500,25600,26000,3354368
20080218,25550,25850,25300,25650,3023722
20080219,25900,25950,25250,25500,3222968
20080220,25350,25600,24500,24600,4093336
20080221,24950,25050,24500,24550,3190984
20080222,24200,24250,23500,23750,5641334
20080225,23850,24150,23300,23500,4647320
20080226,23750,23850,23100,23100,3754101
20080227,23400,24950,23300,24950,5583440
20080228,24700,25200,24300,24900,4076337
20080229,24750,24750,24300,24550,2448630
20080303,23850,24000,23300,23300,4473335
20080304,23700,23900,23300,23650,3972577
20080305,23800,24600,23750,24300,3918323
20080306,24400,25400,23900,24900,6740104
20080307,24400,24550,23950,24050,3371537
20080310,23550,24150,23500,23700,2244452
20080311,23600,24800,23300,24550,3165583
20080312,25400,25550,24500,24500,4104595
20080313,24500,24800,23800,23900,3069033
20080314,24300,24600,23550,23800,2458362
20080317,23350,24250,22750,24000,3966402
20080318,24000,24200,23550,24150,2744891
20080319,24650,24750,24100,24100,3362228
20080320,23800,24800,23600,24750,3304085
20080321,25200,26250,24950,26250,7573430
20080324,26200,26500,25850,26050,3381961
20080325,26550,26600,25900,25900,3046637
20080326,26150,26850,26100,26450,4662565
20080327,26000,26050,25300,25800,5285519
20080328,25550,26450,25550,26300,3121447
20080331,26500,28000,26500,27850,12337043
20080401,27650,28700,27250,27900,7407189
20080402,28800,28850,28150,28150,4544842
20080403,28450,28500,27850,28250,3046327
20080404,28350,28350,27600,28000,2774528
20080407,28000,28050,27350,27450,3686099
20080408,27600,27700,26750,26850,4726599
20080410,27150,27850,26950,27650,4927300
20080411,28000,28950,27950,28950,11133910
20080414,28550,29450,28350,28900,5397841
20080415,28550,28800,27600,27850,6857099
20080416,28350,28350,27750,27800,3704662
20080417,28700,28950,27950,28050,4626093
20080418,28300,28900,28200,28300,3338982
20080421,28750,29500,28700,29350,5874179
20080422,29800,30200,29450,29450,6268959
20080423,29450,30000,28750,28950,5245300
20080424,29300,29700,28200,28500,5910222
20080425,28300,28900,27900,28100,7947243
20080428,27050,27250,26500,26650,11741135
20080429,26900,27250,26600,26800,3654818
20080430,26650,26950,26400,26800,3156175
20080502,27650,28000,27400,27950,5879147
20080506,28200,28700,27950,28350,3790033
20080507,28450,28600,28000,28300,3764461
20080508,28250,29300,28200,29100,6404820
20080509,29700,29750,28800,29200,3870034
20080513,29200,29300,28700,29200,2644485
20080514,29250,29800,29250,29400,2837691
20080515,29450,30500,29450,30400,8450892
20080516,30800,31300,30500,30600,4756489
20080519,31000,31150,30350,30600,4020996
20080520,29350,30100,29200,29850,5436958
20080521,29550,30300,29400,30000,3053708
20080522,29700,30000,29000,29650,2973122
20080523,29900,29900,29100,29400,2759817
20080526,29000,29450,28550,28600,3771698
20080527,28850,29800,28650,29450,3667896
20080528,29700,29750,29300,29450,3229536
20080529,29650,30300,29600,29900,3042082
20080530,30350,31100,30000,31000,10127440
20080602,30900,30950,30250,30350,3055725
20080603,30350,30950,30000,30050,2862655
20080604,30500,30800,30200,30250,2531317
20080605,30600,31550,30500,31300,6289488
20080609,30700,31950,30600,31450,4808300
20080610,31650,31650,30900,31200,4087318
20080611,31200,31300,30650,31150,2463221
20080612,30000,30350,29200,29200,7259093
20080613,29250,29700,28650,29350,3991754
20080616,29900,30050,29150,29400,2139938
20080617,29100,29500,28400,28900,3319275
20080618,28550,28700,27850,28450,4139315
20080619,28050,28100,27600,27850,3138101
20080620,28250,28300,27150,27950,3854455
20080623,27550,28200,27150,27950,2690083
20080624,27700,28150,27250,27450,2075540
20080625,27500,27750,26700,27150,2791496
20080626,27700,27900,27100,27200,2468597
20080627,26450,26550,25850,25950,4516941
20080630,25800,25900,24900,25000,5483324
20080701,25100,25150,23850,24550,7000530
20080702,24600,24600,23500,23750,4662581
20080703,23450,25250,23300,25050,6437012
20080704,24550,24850,23350,23350,7131896
20080707,23350,23550,22350,23050,5666235
20080708,22900,23300,22350,22650,3817869
20080709,23250,23450,22400,22550,3364576
20080710,22200,22850,21900,22700,5012777
20080711,23100,23750,22750,23750,4667715
20080714,23650,24000,23150,23200,2990080
20080715,23150,23150,22150,22150,2922887
20080716,22450,22650,21400,21650,5536556
20080717,22550,22600,22000,22200,4204834
20080718,22750,23200,22500,22650,4092848
20080721,23150,23900,23000,23850,3523891
20080722,23350,23500,22800,23400,4405562
20080723,23350,23650,22900,23250,5522028
20080724,23550,24000,22550,23900,6858488
20080725,23400,24250,23050,23350,4330678
20080728,23550,23650,22600,23000,3473152
20080729,22450,22550,21800,21800,4930027
20080730,22350,22450,21100,21100,7361013
20080731,21150,21950,21150,21650,4185605
20080801,21350,21750,20850,21050,3394626
20080804,20900,21150,20250,20500,3331192
20080805,20300,21150,20300,20700,3403773
20080806,21600,22400,21350,22400,5188398
20080807,22500,23200,22100,22100,6003004
20080808,22000,22950,21900,22600,4721418
20080811,23250,23800,23150,23800,5737712
20080812,23900,24200,23250,23300,4560056
20080813,23500,23900,23200,23200,2750788
20080814,23100,23500,22700,23500,3224350
20080818,23300,23450,22850,23400,2416751
20080819,23050,23200,22400,22400,3078400
20080820,22050,22500,21600,22100,3894367
20080821,21800,21950,21250,21600,3034362
20080822,21350,21500,20700,20950,3607546
20080825,21200,21450,21050,21050,2070203
20080826,20550,20800,20400,20550,3761696
20080827,20550,20600,19550,19800,6578670
20080828,20150,20200,19200,19200,4519749
20080829,19700,19900,19200,19400,4899520
20080901,18900,19200,17200,17200,7082737
20080902,17500,17750,16750,17200,5751252
20080903,17000,19100,16850,19100,7503678
20080904,18400,18650,17850,17850,7152996
20080905,17100,18150,16950,17350,7117937
20080908,18000,19900,17900,19900,8245506
20080909,19600,19600,18550,18600,6715913
20080910,18850,20100,18800,20100,7351630
20080911,19950,21000,19900,20300,9022907
20080912,21100,21200,20400,20400,4004898
20080916,18000,19000,18000,18100,7057420
20080917,19150,20200,19000,19900,8049428
20080918,19400,19500,18350,18550,7311118
20080919,19600,20200,19350,20050,7043209
20080922,20100,20850,19400,19500,6308938
20080923,19300,20100,19150,20000,4199586
20080924,20000,20300,19650,20300,4866411
20080925,20100,20400,19700,20150,6480136
20080926,20000,20350,19250,19400,4504066
20080929,19900,20400,19350,19350,5321015
20080930,18200,19450,18200,19350,5375058
20081001,19650,19800,19200,19450,2363222
20081002,19550,20050,18950,19000,4389812
20081006,18450,18450,17800,17800,6150554
20081007,17500,17750,17150,17750,4730915
20081008,16900,17350,15100,15100,5504238
20081009,15150,16550,14650,15700,9502446
20081010,15000,15650,13700,15200,6131136
20081013,15900,16900,15550,16700,7553196
